name,short_name,symbol,exchange,fractional
WPP PLC,WPP PLC,WPP,London Stock Exchange,True
Card Factory PLC,Card Factory,CARD,London Stock Exchange,True
Deka DAX,Deka DAX,ETFDAX,Deutsche Börse Xetra,False
DraftKings Inc.,DraftKings,DKNG,NASDAQ,True
FDM Group Holdings PLC,FDM Group Holdings,FDM,London Stock Exchange,False
Firstgroup PLC,Firstgroup,FGP,London Stock Exchange,False
Mitchells & Butlers PLC,Mitchells & Butlers,MAB,London Stock Exchange,True
Restaurant Group PLC,Restaurant Group,RTN,London Stock Exchange,True
"Spirit Airlines, Inc.",Spirit Airlines,SAVE,NYSE,False
"Take-Two Interactive Software, Inc.",Take-Two,TTWO,NASDAQ,True
U.S. Bancorp,U.S. Bancorp,USB,NYSE,True
"Zscaler, Inc",Zscaler,ZS,NASDAQ,False
Auto Trader Group PLC,Auto Trader Group,AUTO,London Stock Exchange,False
B&M European Value Retail SA,B&M EU Value Retail,BME,London Stock Exchange,True
"Booking Holdings, Inc.",Booking Holdings,BKNG,NASDAQ,True
Coca-Cola European Partners plc,Coca-Cola European Partners,,NYSE,False
"Invesco Mortgage Capital, Inc.",Invesco Mortgage Capital,IVR,NYSE,False
Marathon Oil Corp.,Marathon Oil,MRO,NYSE,False
"Match Group, Inc.",Match Group,MTCH,NASDAQ,False
"Mercado Libre, Inc.",Mercado Libre,MELI,NASDAQ,False
"MFA Financial, Inc.",MFA Financial,MFA,NYSE,False
NRG Energy,NRG Energy,NRG,NYSE,False
Sage Group PLC/The,Sage Group,SGE,London Stock Exchange,False
Simon Property Group Inc.,Simon Property Group,SPG,NYSE,True
Telefonica SA,Telefonica,TEF,Bolsa de Madrid,True
WisdomTree Physical Silver ETC,WisdomTree Physical Silver,,London Stock Exchange,True
ABB Ltd,ABB,ABBN,SIX Swiss,False
Caixabank SA,Caixabank,CABK,Bolsa de Madrid,True
Dart Group PLC,Dart Group,DTG,London Stock Exchange,True
Delivery Hero AG,Delivery Hero,DHER,Deutsche Börse Xetra,False
Experian PLC,Experian,EXPN,London Stock Exchange,True
Garena,Sea Limited,SE,NYSE,True
Grifols SA,Grifols,GRF,Bolsa de Madrid,False
HSBC S&P 500 UCITS ETF,HSBC S&P 500 ETF,HSPX,London Stock Exchange,False
Illumina Inc,Illumina,ILMN,NASDAQ,False
Invesco PowerShares Source Physical Gold ETC (P-ETC),Invesco Source Physical Gold ETC,,London Stock Exchange,False
Invesco S&P 500 High Dividend Low Volatility GBX UCITS ETF Distributing,Invesco S&P 500 High Dividend Low Volatility GBX,,London Stock Exchange,True
Kier Group PLC,Kier Group,KIE,London Stock Exchange,True
Lyxor EURO STOXX 50 Daily (-2x) Inverse UCITS ETF - Acc,Lyxor EURO STOXX 50 Inverse,,Deutsche Börse Xetra,False
Meggitt PLC,Meggitt,MGGT,London Stock Exchange,True
Mylan Inc.,Mylan,MYL,NASDAQ,False
Novo Nordisk A/S ADR,Novo Nordisk,NVO,NYSE,False
"Park Hotels & Resorts, Inc.",Park Hotels & Resorts,PK,NYSE,True
Petra Diamonds Ltd,Petra Diamonds,PDL,London Stock Exchange,True
Pets at Home Group Plc,Pets at Home Group,PETS,London Stock Exchange,True
Phoenix Group Holdings,Phoenix Group Holdings,PHNX,London Stock Exchange,False
Taiwan Semiconductor Manufacturing ADR,Taiwan Semiconductor,TSM,NYSE,True
thyssenkrupp AG,thyssenkrupp,TKA,Deutsche Börse Xetra,True
"VBI Vaccines, Inc.",VBI Vaccines,VBIV,NASDAQ,False
